frequency of X,Amplitude of X,frequency of Y,Amplitude of Y,frequency of Z,Amplitude of Z
1.002004008,12.91892173,1.002004008,0.976474186,1.002004008,1.373281196
2.004008016,25.39913625,2.004008016,4.437949391,2.004008016,6.378940617
3.006012024,8.419784325,3.006012024,4.242531331,3.006012024,3.17883925
4.008016032,2.005581123,4.008016032,7.778481828,4.008016032,1.32050207
5.01002004,6.786695348,5.01002004,6.287253945,5.01002004,1.099358727
6.012024048,6.930911381,6.012024048,7.859088016,6.012024048,1.022666835
7.014028056,2.848877141,7.014028056,15.41376111,7.014028056,1.423239113
8.016032064,6.065782848,8.016032064,20.88485715,8.016032064,3.018600796
9.018036072,10.6093802,9.018036072,19.06326236,9.018036072,1.916481006
10.02004008,3.035308169,10.02004008,12.3741918,10.02004008,0.879893192
11.02204409,3.500872677,11.02204409,15.84857921,11.02204409,2.296167872
12.0240481,3.17576924,12.0240481,8.208775718,12.0240481,0.795580015
13.0260521,8.292996058,13.0260521,10.03164935,13.0260521,0.77831071
14.02805611,9.427197057,14.02805611,3.424957105,14.02805611,0.849415551
15.03006012,8.11063938,15.03006012,5.525836844,15.03006012,3.54336333
16.03206413,10.07155255,16.03206413,12.18094899,16.03206413,1.691376216
17.03406814,9.845509581,17.03406814,8.53754985,17.03406814,1.590047821
18.03607214,5.125026507,18.03607214,4.27720397,18.03607214,1.247922685
19.03807615,15.26150702,19.03807615,9.091426704,19.03807615,0.67531777
20.04008016,5.158744214,20.04008016,2.186464208,20.04008016,2.106584651
21.04208417,11.27807705,21.04208417,7.527757126,21.04208417,1.032935709
22.04408818,1.692448706,22.04408818,5.775286626,22.04408818,1.563067913
23.04609218,4.389151355,23.04609218,2.03365342,23.04609218,1.059344601
24.04809619,1.896589392,24.04809619,7.739411043,24.04809619,2.57987857
25.0501002,4.341223729,25.0501002,5.424257192,25.0501002,1.658547755
26.05210421,6.843590111,26.05210421,7.7186433,26.05210421,2.226653727
27.05410822,3.55008027,27.05410822,4.8048954,27.05410822,0.879854436
28.05611222,8.954136007,28.05611222,8.324387938,28.05611222,3.451260395
29.05811623,3.732557899,29.05811623,5.484346076,29.05811623,2.074049139
30.06012024,4.42681499,30.06012024,9.082568354,30.06012024,2.152623017
31.06212425,6.560163027,31.06212425,12.15266745,31.06212425,2.797237804
32.06412826,7.656218232,32.06412826,6.636890195,32.06412826,3.406648707
33.06613226,3.973898041,33.06613226,12.69481201,33.06613226,0.629373044
34.06813627,5.922741745,34.06813627,7.233513547,34.06813627,1.40785465
35.07014028,14.00322326,35.07014028,15.05148782,35.07014028,1.90243608
36.07214429,8.892589712,36.07214429,13.31112316,36.07214429,0.752063261
37.0741483,8.846633883,37.0741483,12.18464889,37.0741483,2.716920739
38.0761523,4.15242295,38.0761523,5.822895917,38.0761523,1.416348271
39.07815631,11.00787889,39.07815631,11.20718476,39.07815631,2.660652621
